County,reform,Change in overall poverty,Change in child poverty,Change in young child poverty,Change in overall deep poverty,Change in child deep poverty,Change in young child deep poverty,Population,Child population,Young child population,Original overall poverty rate,Original child poverty rate,Original young child poverty rate,Reform overall poverty rate,Reform child poverty rate,Reform young child poverty rate,Original overall deep poverty rate,Original child deep poverty rate,Original young child deep poverty rate,Reform overall deep poverty rate,Reform child deep poverty rate,Reform young child deep poverty rate
Allegany,All Children 100,-0.14,-0.359,-0.546,-0.011000000000000001,-0.037000000000000005,0.0,612985,136078,38425,0.0649,0.07730000000000001,0.052300000000000006,0.0558,0.0496,0.023700000000000002,0.019,0.0144,0.0089,0.0187,0.0139,0.0089
Anne Arundel,All Children 100,-0.111,-0.28300000000000003,-0.544,0.0,0.0,0.0,67952,12172,3194,0.11410000000000001,0.11289999999999999,0.18170000000000003,0.1014,0.0809,0.08289999999999999,0.0432,0.0444,0.013600000000000001,0.0432,0.0444,0.013600000000000001
Baltimore City,All Children 100,-0.038,-0.092,-0.065,-0.063,-0.174,-0.057,595705,122089,37354,0.25,0.3296,0.2793,0.2404,0.2992,0.261,0.0898,0.1005,0.0724,0.08410000000000001,0.08310000000000001,0.0683
Baltimore County,All Children 100,-0.099,-0.182,-0.21899999999999997,-0.11,-0.3,-0.336,865896,186739,50331,0.12710000000000002,0.1326,0.171,0.11449999999999999,0.1084,0.1336,0.0463,0.037200000000000004,0.0327,0.0412,0.026000000000000002,0.0217
Calvert,All Children 100,-0.023,-0.028999999999999998,-0.054000000000000006,-0.075,-0.098,-0.455,100193,23096,5039,0.085,0.11410000000000001,0.0966,0.083,0.1109,0.09140000000000001,0.044500000000000005,0.0788,0.0781,0.0412,0.071,0.0425
Caroline,All Children 100,-0.032,-0.075,0.0,0.0,0.0,0.0,34804,6894,1570,0.0834,0.0681,0.040999999999999995,0.08070000000000001,0.063,0.040999999999999995,0.019,0.013500000000000002,0.0040999999999999995,0.019,0.013500000000000002,0.0040999999999999995
Carroll,All Children 100,-0.139,-0.32299999999999995,-0.48700000000000004,-0.078,-0.247,-0.48,178564,37240,8930,0.0691,0.0766,0.063,0.059500000000000004,0.0518,0.032400000000000005,0.021400000000000002,0.0216,0.011399999999999999,0.0197,0.016200000000000003,0.0059
Cecil,All Children 100,-0.057999999999999996,-0.182,0.0,0.0,0.0,0.0,108229,23069,6038,0.1063,0.0759,0.0629,0.1002,0.0621,0.0629,0.046799999999999994,0.0296,0.0028000000000000004,0.046799999999999994,0.0296,0.0028000000000000004
Charles,All Children 100,-0.09,-0.151,0.0,0.0,0.0,0.0,174238,41222,9237,0.0907,0.1121,0.08539999999999999,0.0825,0.09519999999999999,0.08539999999999999,0.024399999999999998,0.0152,0.0159,0.024399999999999998,0.0152,0.0159
Dorchester,All Children 100,-0.032,-0.075,0.0,0.0,0.0,0.0,33845,6704,1526,0.0834,0.0681,0.040999999999999995,0.08070000000000001,0.063,0.040999999999999995,0.019,0.013500000000000002,0.0040999999999999995,0.019,0.013500000000000002,0.0040999999999999995
Frederick,All Children 100,-0.084,-0.18600000000000003,-0.064,-0.036000000000000004,-0.11599999999999999,0.0,275124,62421,16185,0.10039999999999999,0.105,0.1272,0.092,0.0855,0.1191,0.0294,0.0281,0.0246,0.028300000000000002,0.0248,0.0246
Garrett,All Children 100,-0.111,-0.28300000000000003,-0.544,0.0,0.0,0.0,27805,4981,1307,0.11410000000000001,0.11289999999999999,0.18170000000000003,0.1014,0.0809,0.08289999999999999,0.0432,0.0444,0.013600000000000001,0.0432,0.0444,0.013600000000000001
Harford,All Children 100,-0.022000000000000002,-0.039,-0.077,-0.10800000000000001,-0.10400000000000001,-0.19399999999999998,272165,59029,15126,0.0874,0.09140000000000001,0.1796,0.0855,0.08779999999999999,0.1659,0.039599999999999996,0.0572,0.1197,0.0353,0.0512,0.0965
Howard,All Children 100,-0.040999999999999995,-0.08800000000000001,-0.087,0.0,0.0,0.0,347480,83495,21180,0.07719999999999999,0.0745,0.0559,0.07400000000000001,0.0679,0.051100000000000007,0.0239,0.0131,0.0179,0.0239,0.0131,0.0179
Kent,All Children 100,-0.032,-0.075,0.0,0.0,0.0,0.0,20574,4075,928,0.0834,0.0681,0.040999999999999995,0.08070000000000001,0.063,0.040999999999999995,0.019,0.013500000000000002,0.0040999999999999995,0.019,0.013500000000000002,0.0040999999999999995
Maryland,All Children 100,-0.098,-0.207,-0.201,-0.07400000000000001,-0.191,-0.237,6319406,1390540,376011,0.12539999999999998,0.1483,0.1585,0.1131,0.1175,0.1266,0.040999999999999995,0.0383,0.0355,0.038,0.031,0.0271
Montgomery,All Children 100,-0.102,-0.166,-0.21,-0.14300000000000002,-0.369,-0.542,1117479,253075,68066,0.1391,0.16899999999999998,0.2184,0.125,0.1409,0.1726,0.0397,0.0355,0.0334,0.034,0.022400000000000003,0.015300000000000001
Prince George's,All Children 100,-0.188,-0.39799999999999996,-0.278,-0.033,-0.121,-0.11,939674,210461,62964,0.14800000000000002,0.2011,0.19440000000000002,0.1201,0.12119999999999999,0.1405,0.0369,0.027000000000000003,0.0313,0.035699999999999996,0.023700000000000002,0.0279
Queen Anne's,All Children 100,-0.032,-0.075,0.0,0.0,0.0,0.0,52268,10354,2357,0.0834,0.0681,0.040999999999999995,0.08070000000000001,0.063,0.040999999999999995,0.019,0.013500000000000002,0.0040999999999999995,0.019,0.013500000000000002,0.0040999999999999995
Somerset,All Children 100,-0.061,-0.18600000000000003,-0.237,-0.1,-0.26899999999999996,-0.456,25729,5354,1343,0.12390000000000001,0.1226,0.09849999999999999,0.11630000000000001,0.09970000000000001,0.07519999999999999,0.06860000000000001,0.0723,0.047599999999999996,0.061799999999999994,0.0529,0.0259
St. Mary's,All Children 100,-0.023,-0.028999999999999998,-0.054000000000000006,-0.075,-0.098,-0.455,122944,28340,6183,0.085,0.11410000000000001,0.0966,0.083,0.1109,0.09140000000000001,0.044500000000000005,0.0788,0.0781,0.0412,0.071,0.0425
Talbot,All Children 100,-0.032,-0.075,0.0,0.0,0.0,0.0,39141,7753,1765,0.0834,0.0681,0.040999999999999995,0.08070000000000001,0.063,0.040999999999999995,0.019,0.013500000000000002,0.0040999999999999995,0.019,0.013500000000000002,0.0040999999999999995
Washington,All Children 100,-0.182,-0.34,-0.6629999999999999,0.0,0.0,0.0,152311,33790,8912,0.09380000000000001,0.09820000000000001,0.0653,0.0767,0.0649,0.022000000000000002,0.032,0.0323,0.015700000000000002,0.032,0.0323,0.015700000000000002
Wicomico,All Children 100,-0.061,-0.18600000000000003,-0.237,-0.1,-0.26899999999999996,-0.456,102537,21337,5350,0.12390000000000001,0.1226,0.09849999999999999,0.11630000000000001,0.09970000000000001,0.07519999999999999,0.06860000000000001,0.0723,0.047599999999999996,0.061799999999999994,0.0529,0.0259
Worcester,All Children 100,-0.061,-0.18600000000000003,-0.237,-0.1,-0.26899999999999996,-0.456,51764,10771,2701,0.12390000000000001,0.1226,0.09849999999999999,0.11630000000000001,0.09970000000000001,0.07519999999999999,0.06860000000000001,0.0723,0.047599999999999996,0.061799999999999994,0.0529,0.0259
